ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
12801,"신안","산정동",46110,A53035018,"신안비치팔레스1차아파트입주자대표회의",1984,2003,19,802,"전라남도 목포시 산정동 1152 신안비치팔레스1차아파트입주자대표회의",검토필요,
2427,"기안파인골드빌2차","팔봉동",52140,A57099701,"기안파인골드빌2차",2023,2005,18,496,"전북특별자치도 익산시 팔봉동 313 기안파인골드빌2차",검토필요,
9391,"배산제일","모현동1가",52140,A57075713,"배산제일풍경채에듀파크아파트",1994,2012,18,676,"전북특별자치도 익산시 모현동1가 883 배산제일풍경채에듀파크아파트",검토필요,
9623,"삼익","안양동",41171,A43108304,"호계삼익",1978,1996,18,261,"경기도 안양동안구 호계동 766-4 호계삼익",검토필요,
9746,"우림필유","마동",52140,A54577001,"광양중마우림필유아파트",1994,2012,18,803,"전라남도 광양시 마동 1161 광양중마우림필유아파트",검토필요,
11852,"주공","주문진읍 교항리",51150,A21080103,"교항2주공아파트",1982,2000,18,475,"강원특별자치도 강릉시 주문진읍 교항리 1256 교항2주공아파트",검토필요,
12082,"도원","도원동",27110,A14007002,"도원삼성래미안",1983,2001,18,1458,"서울특별시 용산구 도원동 23 도원삼성래미안",검토필요,
12303,"성원","화서동",41115,A44285708,"화서성원상떼빌",1983,2001,18,508,"경기도 수원팔달구 화서동 11-11 화서성원상떼빌",검토필요,
12683,"도원","도원동",11170,A14007002,"도원삼성래미안",1983,2001,18,1458,"서울특별시 용산구 도원동 23 도원삼성래미안",검토필요,
6151,"현대","주안동",28177,A40283602,"주안 현대홈타운 아파트",1985,2002,17,443,"인천광역시 미추홀구 주안동 13-1 주안 현대홈타운 아파트",검토필요,
9628,"대원","하대원동",41133,A46271104,"하대원아튼빌",1986,2003,17,1541,"경기도 성남중원구 하대원동 249 하대원아튼빌",검토필요,
10656,"쌍용","사직동",43112,A60778608,"사직쌍용예가",1989,2006,17,2947,"부산광역시 동래구 사직동 1017 사직쌍용예가",검토필요,
12130,"해피트리","언남동",41463,A44691003,"구성신일해피트리",2018,2001,17,591,"경기도 용인기흥구 언남동 490 구성신일해피트리",검토필요,
