ID,실거래명,동,실거래준공,현재매핑,K-apt준공,년도차이,네이버명,네이버준공,일치여부
9125,"현대","주례동",1989,"주례현대무지개아파트",1993,4,"",,X
9711,"모아","월계동",1997,"첨단모아미래도",2001,4,"",,X
10016,"주공1","중앙동",1980,"과천주공10단지",1984,4,"",,X
10524,"펠리시티","삼향읍 남악리",2012,"펠리시티3차주상복합아파트",2016,4,"",,X
11084,"피오레","정릉동",2004,"정릉2차대주피오레",2008,4,"",,X
11338,"경남아너스빌","신수동",2005,"밤섬경남아너스빌",2009,4,"",,X
11765,"하나로","거창읍 대동리",2007,"거창하나로2차",2011,4,"",,X
11869,"덕림","월산동",1986,"덕림제일파크",1990,4,"",,X
11980,"신라","관양동",1988,"한가람신라",1992,4,"",,X
12558,"삼성","등촌동",2003,"한사랑2차삼성아파트(등촌동)",1999,4,"",,X
12700,"삼성","신정동",2000,"신정삼성SH임대",1996,4,"",,X
12739,"망우","망우동",2003,"망우신원",1999,4,"",,X
12772,"월드","성산동",2000,"성산월드타운대림",2004,4,"",,X
528,"부천아이파크","약대동",2017,"부천아이파크",2014,3,"",,X
757,"주공","합정동",1989,"합정주공4단지",1992,3,"",,X
960,"호반","양산동",1997,"양산2차호반리젠시빌",2000,3,"",,X
1936,"삼성","내동",1996,"성내삼성",1999,3,"",,X
2317,"대우","칠전동",1999,"칠전대우2차아파트",2002,3,"",,X
3356,"삼성래미안","약사동",2001,"삼성래미안2차",2004,3,"",,X
3963,"우미","시전동",1996,"우미타운",1993,3,"",,X
4629,"아중제일","인후동1가",1997,"인후동 아중제일2차",2000,3,"",,X
5813,"신한","만수동",1988,"만수신한5차아파트",1991,3,"",,X
6734,"제일","효자동1가",1990,"효자동제일효자타운",1993,3,"",,X
7818,"중흥에스클래스","반곡동",2019,"중흥에스클래스프라디움 아파트",2016,3,"",,X
8904,"한승미메이드","송산동",2008,"한승미메이드1차",2005,3,"",,X
9638,"달동현대","달동",1991,"달동현대2차",1994,3,"",,X
10070,"제일훼미리","삼문동",1993,"제일훼미리",1990,3,"",,X
10381,"효성","율량동",1993,"율량효성2차아파트",1996,3,"",,X
10667,"유강우방타운","연일읍 유강리",1999,"유강우방타운",1996,3,"",,X
10898,"우방아이유쉘","도산동",2016,"송정우방아이유쉘아파트",2019,3,"",,X
10910,"가야누리애","범천동",2017,"가야누리애더센트리즈",2020,3,"",,X
10962,"석미모닝파크","내곡동",2008,"석미모닝파크2차아파트",2011,3,"",,X
10985,"일우","석전동",1991,"일우근주아파트",1994,3,"",,X
11158,"더뉴클래스","신서동",2012,"각산역 더뉴클래스2차",2015,3,"",,X
11168,"팰리스필","광명동",2004,"광명팰리스필2차",2007,3,"",,X
11859,"주공2","중동",1993,"덕유마을주공2단지",1996,3,"",,X
12119,"동신","평거동",1990,"벽산동신",1993,3,"",,X
12248,"희성연인","정자동",2006,"수원 정자2차 희성연인아파트",2009,3,"",,X
12270,"포도힐","변동",2011,"포도힐6차",2014,3,"",,X
12340,"보람","등촌동",1999,"등촌2차보람아파트",2002,3,"",,X
12394,"원우","청학동",2001,"원우엔리치빌",2004,3,"",,X
12446,"방촌현대","방촌동",1996,"방촌현대맨션",1993,3,"",,X
12473,"서초대우","서초동",2000,"서초대우아이빌",2003,3,"",,X
12496,"반도","부곡동",1982,"부곡반도맨션",1985,3,"",,X
12509,"성원1","도남동",1993,"통영성원1차아파트",1996,3,"",,X
12709,"한솔","창동",2002,"염창강변한솔솔파크",2005,3,"",,X
12721,"창전","창전동",1995,"창전삼성",1998,3,"",,X
